IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201100084;84;4;1;406 PEUGEOT;1;1999;0;0;1;0;;;;860;0;1;2;3;;1999;;;;;;;;;;;PEUGEOT 406;1;;860;;;;0;;;;;;;;;;;;
201100086;86;1;2;CITROEN C3 PICASSO;2;2009;1;0;1;0;;0;150;0;0;1;1;3;;2010;9;2;2;3;0;16500;;1;2000;18500;CITROEN C3;1;;;;18500;2000;0;1;;18500;;;1;;18500;2000;;;0
201100086;86;1;2;PEUGEOT 206;1;2000;1;0;1;0;;50;8000;800;0;1;2;4;;;;;;;;;;;;;PEUGEOT 205;2;;800;;;;0;;;;;;;;;;;;
201100088;88;3;2;206 PEUGEOT;2;2000;1;0;1;0;;80;99999;0;0;1;2;3;;2009;;;;;;;;;;;PEUGEOT 206;1;;;;;;0;;;;;;;;;;;;
201100088;88;3;2;807 PEUGEOT;2;2003;1;0;1;0;;80;99999;0;0;1;1;3;;2010;11;2;2;3;;;;3;;8000;PEUGEOT 807;2;;;;8000;;0;1;;8000;;;1;;8000;0;;;0
201100089;89;4;1;OPEL;2;1993;1;1;0;0;0;60;200;0;0;3;;3;;2009;;;;;;;;;;;OPEL - NON SPECIFIE;1;;;;;;0;;;;;;;;;;;;
201100092;92;6;1;RENAULT MODUS;2;2008;1;0;1;0;;0;100;0;0;1;1;3;;2010;2;;;;;;;;;;RENAULT MODUS;1;;;;;;0;1;;0;;;;;;;;;
201100093;93;6;1;RENAULT TWINGO;2;2011;1;0;1;0;;30;70;0;0;1;1;1;;2011;4;2;1;3;;;8000;5;;13762;RENAULT TWINGO;1;;;8000;13762;;0;1;1;13762;8000;1;;13762;;;0;8000;
201100096;96;5;2;BMW 316;1;1983;0;0;1;0;;;;198;0;1;1;3;;2004;;;;;;;;;;;BMW SERIE 3;1;;198;;;;0;;;;;;;;;;;;
201100096;96;5;2;CITROEN 2CV;1;1982;0;0;1;0;;;;0;0;1;2;3;;2008;;;;;;;;;;;CITROEN 2CV;2;;;;;;0;;;;;;;;;;;;
201100097;97;5;2;CITROEN C1;1;2008;1;0;1;0;;30;67;0;150;1;2;3;;2008;;;;;;;;;;;CITROEN C1;1;150;;;;;0;;;;;;;;;;;;
